IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,20.5,,,18.51,,22.76,20.50 [18.51-22.76],,,EN,2022-08-12T07:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GEO,Georgia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,20.66,,,16.28,,26.59,20.66 [16.28-26.59],,,EN,2022-08-12T07:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,CHL,Chile,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,21.47,,,18.77,,24.24,21.47 [18.77-24.24],,,EN,2022-08-12T07:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,PHL,Philippines,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,21.52,,,17.94,,24.83,21.52 [17.94-24.83],,,EN,2022-08-12T07:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,GTM,Guatemala,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,21.71,,,17.25,,28.01,21.71 [17.25-28.01],,,EN,2022-08-12T07:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,21.89,,,11.08,,39.88,21.89 [11.08-39.88],,,EN,2022-08-12T07:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,SSD,South Sudan,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,21.94,,,10.95,,40.48,21.94 [10.95-40.48],,,EN,2022-08-12T07:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.23,,,13.13,,33.36,22.23 [13.13-33.36],,,EN,2022-08-12T07:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,POL,Poland,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.51,,,21.99,,23.05,22.51 [21.99-23.05],,,EN,2022-08-12T07:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,DZA,Algeria,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.73,,,14.57,,35.3,22.73 [14.57-35.30],,,EN,2022-08-12T07:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ERI,Eritrea,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.98,,,9.14,,50.71,22.98 [9.14-50.71],,,EN,2022-08-12T07:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,23.12,,,16.81,,30.75,23.12 [16.81-30.75],,,EN,2022-08-12T07:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,TUR,Türkiye,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,23.29,,,21.86,,24.6,23.29 [21.86-24.60],,,EN,2022-08-12T07:00:00.000Z
